#REF, https://ui.adsabs.harvard.edu/abs/2016MNRAS.456.1999M/abstract
#AUTHOR, Marchetti+
#YEAR, 2016
#REDSHIFT, 0.06
#COLUMN1, log SFR [M_sun yr^-1]
#COLUMN2, log Phi [dex^-1 Mpc^-3]
#COLUMN3, -sigma
#COLUMN4, +sigma
#NOTE, SFRF converted by Katsianis et al. (2017) from IR luminosity function of Marchetti+2016 observed by Herschel and Spitzer. (h, Omega_m, Omega_l) = (0.7, 0.3, 0.7)
#IMF, Chabrier
1.194, -4.222, 0.380, 0.200
1.034, -4.000, 0.260, 0.161
0.864, -3.337, 0.102, 0.082
0.694, -3.117, 0.076, 0.065
0.524, -2.967, 0.065, 0.056
0.364, -2.557, 0.040, 0.036
0.194, -2.407, 0.034, 0.032
0.034, -2.307, 0.036, 0.033
-0.136, -2.187, 0.035, 0.032
-0.306, -2.177, 0.063, 0.055
-0.476, -2.227, 0.069, 0.060
-0.636, -2.039, 0.095, 0.078
-0.807, -2.167, 0.133, 0.101
-0.967, -2.157, 0.165, 0.119
